"","Cause","Jurisdiction","Number","Protection.zone","Response.category","Year","Juris_Long","Cause_Grouped","Time1","Time2","Region","Fire_Cause_Human"
"1","Forest industry","AB",22,"Intensive","Full",1990,"Alberta","People","Early 90s","1990s","Prairie Region","Human"
"2","Forest industry","AB",14,"Intensive","Full",1991,"Alberta","People","Early 90s","1990s","Prairie Region","Human"
"3","Forest industry","AB",12,"Intensive","Full",1992,"Alberta","People","Early 90s","1990s","Prairie Region","Human"
"4","Forest industry","AB",11,"Intensive","Full",1993,"Alberta","People","Early 90s","1990s","Prairie Region","Human"
"5","Forest industry","AB",13,"Intensive","Full",1994,"Alberta","People","Early 90s","1990s","Prairie Region","Human"
"6","Forest industry","AB",14,"Intensive","Full",1995,"Alberta","People","Early 90s","1990s","Prairie Region","Human"
"7","Forest industry","AB",8,"Intensive","Full",1996,"Alberta","People","Late 90s","1990s","Prairie Region","Human"
"8","Forest industry","AB",29,"Intensive","Full",1997,"Alberta","People","Late 90s","1990s","Prairie Region","Human"
"9","Forest industry","AB",10,"Intensive","Full",1998,"Alberta","People","Late 90s","1990s","Prairie Region","Human"
"10","Forest industry","AB",20,"Intensive","Full",1999,"Alberta","People","Late 90s","1990s","Prairie Region","Human"
"11","Forest industry","AB",10,"Intensive","Full",2000,"Alberta","People","Late 90s","2000s","Prairie Region","Human"
"12","Forest industry","AB",11,"Intensive","Full",2001,"Alberta","People","Early 10s","2000s","Prairie Region","Human"
"13","Forest industry","AB",11,"Intensive","Full",2002,"Alberta","People","Early 10s","2000s","Prairie Region","Human"
"14","Forest industry","AB",18,"Intensive","Full",2003,"Alberta","People","Early 10s","2000s","Prairie Region","Human"
"15","Forest industry","AB",22,"Intensive","Full",2004,"Alberta","People","Early 10s","2000s","Prairie Region","Human"
"16","Forest industry","AB",22,"Intensive","Full",2005,"Alberta","People","Early 10s","2000s","Prairie Region","Human"
"17","Forest industry","AB",26,"Intensive","Full",2006,"Alberta","People","Late 10s","2000s","Prairie Region","Human"
"18","Forest industry","AB",19,"Intensive","Full",2007,"Alberta","People","Late 10s","2000s","Prairie Region","Human"
"19","Forest industry","AB",41,"Intensive","Full",2008,"Alberta","People","Late 10s","2000s","Prairie Region","Human"
"20","Forest industry","AB",48,"Intensive","Full",2009,"Alberta","People","Late 10s","2000s","Prairie Region","Human"
"21","Forest industry","AB",22,"Intensive","Full",2010,"Alberta","People","Late 10s","2010s","Prairie Region","Human"
"22","Forest industry","AB",30,"Intensive","Full",2011,"Alberta","People","Early 20s","2010s","Prairie Region","Human"
"23","Forest industry","AB",15,"Intensive","Full",2012,"Alberta","People","Early 20s","2010s","Prairie Region","Human"
"24","Forest industry","AB",20,"Intensive","Full",2013,"Alberta","People","Early 20s","2010s","Prairie Region","Human"
"25","Forest industry","AB",23,"Intensive","Full",2014,"Alberta","People","Early 20s","2010s","Prairie Region","Human"
"26","Forest industry","AB",41,"Intensive","Full",2015,"Alberta","People","Early 20s","2010s","Prairie Region","Human"
"27","Forest industry","AB",32,"Intensive","Full",2016,"Alberta","People","Late 20s","2010s","Prairie Region","Human"
"28","Forest industry","AB",15,"Intensive","Full",2017,"Alberta","People","Late 20s","2010s","Prairie Region","Human"
"29","Forest industry","BC",185,"Intensive","Full",1990,"British Columbia","People","Early 90s","1990s","Pacific Region","Human"
"30","Forest industry","BC",143,"Intensive","Full",1991,"British Columbia","People","Early 90s","1990s","Pacific Region","Human"
"31","Forest industry","BC",152,"Intensive","Full",1992,"British Columbia","People","Early 90s","1990s","Pacific Region","Human"
"32","Forest industry","BC",149,"Intensive","Full",1993,"British Columbia","People","Early 90s","1990s","Pacific Region","Human"
"33","Forest industry","BC",113,"Intensive","Full",1994,"British Columbia","People","Early 90s","1990s","Pacific Region","Human"
"34","Forest industry","BC",134,"Intensive","Full",1995,"British Columbia","People","Early 90s","1990s","Pacific Region","Human"
"35","Forest industry","BC",130,"Intensive","Full",1996,"British Columbia","People","Late 90s","1990s","Pacific Region","Human"
"36","Forest industry","BC",62,"Intensive","Full",1997,"British Columbia","People","Late 90s","1990s","Pacific Region","Human"
"37","Forest industry","BC",3,"Intensive","Full",1998,"British Columbia","People","Late 90s","1990s","Pacific Region","Human"
"38","Forest industry","BC",7,"Intensive","Full",1999,"British Columbia","People","Late 90s","1990s","Pacific Region","Human"
"39","Forest industry","BC",8,"Intensive","Full",2000,"British Columbia","People","Late 90s","2000s","Pacific Region","Human"
"40","Forest industry","BC",4,"Intensive","Full",2001,"British Columbia","People","Early 10s","2000s","Pacific Region","Human"
"41","Forest industry","BC",12,"Intensive","Full",2002,"British Columbia","People","Early 10s","2000s","Pacific Region","Human"
"42","Forest industry","BC",5,"Intensive","Full",2003,"British Columbia","People","Early 10s","2000s","Pacific Region","Human"
"43","Forest industry","BC",6,"Intensive","Full",2004,"British Columbia","People","Early 10s","2000s","Pacific Region","Human"
